variable;width;initialPos;finalPos;type;valueRegEx;description
G25a_4;1;84;84;char;;Ha padecido alguna vez: Otras enfermedades del corazón
G25b_4;1;85;85;char;;Ha padecido en los últimos 12 meses: Otras enfermedades del corazón
G25c_4;1;86;86;char;;Diagnóstico médico: Otras enfermedades del corazón
G25a_5;1;87;87;char;;Ha padecido alguna vez: Varices en las piernas
G25b_5;1;88;88;char;;Ha padecido en los últimos 12 meses: Varices en las piernas
G25c_5;1;89;89;char;;Diagnóstico médico: Varices en las piernas
G25a_6;1;90;90;char;;Ha padecido alguna vez: Artrosis (excluyendo artritis)
G25b_6;1;91;91;char;;Ha padecido en los últimos 12 meses: Artrosis (excluyendo artritis)
G25c_6;1;92;92;char;;Diagnóstico médico: Artrosis (excluyendo artritis)
G25a_7;1;93;93;char;;Ha padecido alguna vez: Dolor de espalda crónico (cervical)
G25b_7;1;94;94;char;;Ha padecido en los últimos 12 meses: Dolor de espalda crónico (cervical)
G25c_7;1;95;95;char;;Diagnóstico médico: Dolor de espalda crónico (cervical)
G25a_8;1;96;96;char;;Ha padecido alguna vez: Dolor de espalda crónico (lumbar)
G25b_8;1;97;97;char;;Ha padecido en los últimos 12 meses: Dolor de espalda crónico (lumbar)
G25c_8;1;98;98;char;;Diagnóstico médico: Dolor de espalda crónico (lumbar)
G25a_9;1;99;99;char;;Ha padecido alguna vez: Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida)
G25b_9;1;100;100;char;;Ha padecido en los últimos 12 meses: Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida)
G25c_9;1;101;101;char;;Diagnóstico médico: Alergia crónica, como rinitis, conjuntivitis o dermatitis alérgica, alergia alimentaria o de otro tipo (asma alérgica excluida)
G25a_10;1;102;102;char;;Ha padecido alguna vez: Asma (incluida asma alérgica)
G25b_10;1;103;103;char;;Ha padecido en los últimos 12 meses: Asma (incluida asma alérgica)
G25c_10;1;104;104;char;;Diagnóstico médico: Asma (incluida asma alérgica)
G25a_11;1;105;105;char;;Ha padecido alguna vez: Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC)
G25b_11;1;106;106;char;;Ha padecido en los últimos 12 meses: Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC)
G25c_11;1;107;107;char;;Diagnóstico médico: Bronquitis crónica, enfisema, enfermedad pulmonar obstructiva crónica (EPOC)
G25a_12;1;108;108;char;;Ha padecido alguna vez: Diabetes
G25b_12;1;109;109;char;;Ha padecido en los últimos 12 meses: Diabetes
G25c_12;1;110;110;char;;Diagnóstico médico: Diabetes
G25a_13;1;111;111;char;;Ha padecido alguna vez: élcera de estómago o duodeno
G25b_13;1;112;112;char;;Ha padecido en los últimos 12 meses: élcera de estómago o duodeno
G25c_13;1;113;113;char;;Diagnóstico médico: élcera de estómago o duodeno
G25a_14;1;114;114;char;;Ha padecido alguna vez: Incontinencia urinaria o problemas de control de la orina
G25b_14;1;115;115;char;;Ha padecido en los últimos 12 meses: Incontinencia urinaria o problemas de control de la orina
G25c_14;1;116;116;char;;Diagnóstico médico: Incontinencia urinaria o problemas de control de la orina
G25a_15;1;117;117;char;;Ha padecido alguna vez: Colesterol alto
G25b_15;1;118;118;char;;Ha padecido en los últimos 12 meses: Colesterol alto
G25c_15;1;119;119;char;;Diagnóstico médico: Colesterol alto
G25a_16;1;120;120;char;;Ha padecido alguna vez: Cataratas
G25b_16;1;121;121;char;;Ha padecido en los últimos 12 meses: Cataratas
G25c_16;1;122;122;char;;Diagnóstico médico: Cataratas
G25a_17;1;123;123;char;;Ha padecido alguna vez: Problemas crónicos de piel
G25b_17;1;124;124;char;;Ha padecido en los últimos 12 meses: Problemas crónicos de piel
G25c_17;1;125;125;char;;Diagnóstico médico: Problemas crónicos de piel
G25a_18;1;126;126;char;;Ha padecido alguna vez: Estreñimiento crónico
G25b_18;1;127;127;char;;Ha padecido en los últimos 12 meses: Estreñimiento crónico
G25c_18;1;128;128;char;;Diagnóstico médico: Estreñimiento crónico
G25a_19;1;129;129;char;;Ha padecido alguna vez: Cirrosis, disfunción hep tica
G25b_19;1;130;130;char;;Ha padecido en los últimos 12 meses: Cirrosis, disfunción hep tica
G25c_19;1;131;131;char;;Diagnóstico médico: Cirrosis, disfunción hep tica
G25a_20;1;132;132;char;;Ha padecido alguna vez: Depresión
G25b_20;1;133;133;char;;Ha padecido en los últimos 12 meses: Depresión
G25c_20;1;134;134;char;;Diagnóstico médico: Depresión
G25a_21;1;135;135;char;;Ha padecido alguna vez: Ansiedad crónica 
G25b_21;1;136;136;char;;Ha padecido en los últimos 12 meses: Ansiedad crónica 
G25c_21;1;137;137;char;;Diagnóstico médico: Ansiedad crónica 
G25a_22;1;138;138;char;;Ha padecido alguna vez: Otros problemas mentales
G25b_22;1;139;139;char;;Ha padecido en los últimos 12 meses: Otros problemas mentales
G25c_22;1;140;140;char;;Diagnóstico médico: Otros problemas mentales
G25a_23;1;141;141;char;;Ha padecido alguna vez: Ictus (embolia, infarto cerebral, hemorragia cerebral)
G25b_23;1;142;142;char;;Ha padecido en los últimos 12 meses: Ictus (embolia, infarto cerebral, hemorragia cerebral)
G25c_23;1;143;143;char;;Diagnóstico médico: Ictus (embolia, infarto cerebral, hemorragia cerebral)
G25a_24;1;144;144;char;;Ha padecido alguna vez: Migraña o dolor de cabeza frecuente
G25b_24;1;145;145;char;;Ha padecido en los últimos 12 meses: Migraña o dolor de cabeza frecuente
G25c_24;1;146;146;char;;Diagnóstico médico: Migraña o dolor de cabeza frecuente
G25a_25;1;147;147;char;;Ha padecido alguna vez: Hemorroides
G25b_25;1;148;148;char;;Ha padecido en los últimos 12 meses: Hemorroides
G25c_25;1;149;149;char;;Diagnóstico médico: Hemorroides
G25a_26;1;150;150;char;;Ha padecido alguna vez: Tumores malignos
G25b_26;1;151;151;char;;Ha padecido en los últimos 12 meses: Tumores malignos
G25c_26;1;152;152;char;;Diagnóstico médico: Tumores malignos
G25a_27;1;153;153;char;;Ha padecido alguna vez: Osteoporosis
G25b_27;1;154;154;char;;Ha padecido en los últimos 12 meses: Osteoporosis
G25c_27;1;155;155;char;;Diagnóstico médico: Osteoporosis
G25a_28;1;156;156;char;;Ha padecido alguna vez: Problemas de tiroides
G25b_28;1;157;157;char;;Ha padecido en los últimos 12 meses: Problemas de tiroides
G25c_28;1;158;158;char;;Diagnóstico médico: Problemas de tiroides
G25a_29;1;159;159;char;;Ha padecido alguna vez: Problemas de riñón
G25b_29;1;160;160;char;;Ha padecido en los últimos 12 meses: Problemas de riñón
G25c_29;1;161;161;char;;Diagnóstico médico: Problemas de riñón
G25a_30;1;162;162;char;;Ha padecido alguna vez: Problemas de próstata (solo hombres)
G25b_30;1;163;163;char;;Ha padecido en los últimos 12 meses: Problemas de próstata (solo hombres)
G25c_30;1;164;164;char;;Diagnóstico médico: Problemas de próstata (solo hombres)
G25a_31;1;165;165;char;;Ha padecido alguna vez: Problemas del periodo menop usico (solo mujeres)
G25b_31;1;166;166;char;;Ha padecido en los últimos 12 meses: Problemas del periodo menop usico (solo mujeres)
G25c_31;1;167;167;char;;Diagnóstico médico: Problemas del periodo menop usico (solo mujeres)
G25a_32;1;168;168;char;;Ha padecido alguna vez: Lesiones o defectos permanentes causados por un accidente
G25b_32;1;169;169;char;;Ha padecido en los últimos 12 meses: Lesiones o defectos permanentes causados por un accidente
G25c_32;1;170;170;char;;Diagnóstico médico: Lesiones o defectos permanentes causados por un accidente
H26_1;1;171;171;char;;Ha tenido en los últimos 12 meses: Accidente de tr fico
H26_2;1;172;172;char;;Ha tenido en los últimos 12 meses: Accidente en casa
H26_3;1;173;173;char;;Ha tenido en los últimos 12 meses: Accidente durante su tiempo libre
H27;1;174;174;char;;Intervención sanitaria debida al accidente más grave
I28_1;1;175;175;char;;Restricción de la actividad habitual en las últimas dos semanas
I28_2;2;176;177;char;;Número de días de restricción de la actividad habitual
I29_1;1;178;178;char;;Permanencia en cama en las últimas dos semanas
I29_2;2;179;180;char;;Número de días de permanencia en cama
K32;1;181;181;char;;¿Utiliza gafas o lentillas?
K33;1;182;182;char;;Dificultad para ver 
K34;1;183;183;char;;¿Utiliza audífono?
K35;1;184;184;char;;Dificultad para oir en un sitio tranquilo 
K36;1;185;185;char;;Dificultad para oir en un sitio más ruidoso 
K37;1;186;186;char;;Dificultad para caminar 500 metros sin ayuda
K38;1;187;187;char;;Dificultad para subir o bajar 12 escalones
K38a;1;188;188;char;;Dificultad para recordar o concentrarse
L39_1;1;189;189;char;;Dificultad para actividades b sicas diarias: Alimentarse sin ayuda
L39_2;1;190;190;char;;Dificultad para actividades b sicas diarias: Sentarse, levantarse de una silla o de una cama, acostarse sin ayuda
L39_3;1;191;191;char;;Dificultad para actividades b sicas diarias: Vestirse y desvestirse sin ayuda
L39_4;1;192;192;char;;Dificultad para actividades b sicas diarias: Ir al servicio sin ayuda
L39_5;1;193;193;char;;Dificultad para actividades b sicas diarias: Ducharse o bañarse sin ayuda
L40;1;194;194;char;;¿Dispone habitualmente de ayuda para realizarlas?
L41;1;195;195;char;;¿Necesitaría ayuda o más ayuda de la que dispone? 
L42_1;1;196;196;char;;Dificultad para actividades relacionadas con el hogar: Preparar las comidas sin ayuda
L42_2;1;197;197;char;;Dificultad para actividades relacionadas con el hogar: Utilizar el teléfono sin ayuda
L42_3;1;198;198;char;;Dificultad para actividades relacionadas con el hogar: Realizar compras sin ayuda
L42_4;1;199;199;char;;Dificultad para actividades relacionadas con el hogar: Tomar sus medicamentos sin ayuda
L42_5;1;200;200;char;;Dificultad para actividades relacionadas con el hogar: Realizar tareas domésticas ligeras sin ayuda
L42_6;1;201;201;char;;Dificultad para actividades relacionadas con el hogar: Realizar ocasionalmente tareas domésticas que requieren un gran esfuerzo sin ayuda
L42_7;1;202;202;char;;Dificultad para actividades relacionadas con el hogar: Administrar su propio dinero sin ayuda
L43;1;203;203;char;;¿Dispone habitualmente de ayuda para realizarlas?
L44;1;204;204;char;;¿Necesitaría ayuda o más ayuda de la que dispone? 
L45;1;205;205;char;;Grado de dolor padecido durante las últimas 4 semanas
L46;1;206;206;char;;¿Hasta qué punto el dolor afectó a sus actividades cotidianas?
M47_1;1;207;207;char;;Frecuencia en las últimas semanas: Ha podido concentrarse bien en lo que hacía
M47_2;1;208;208;char;;Frecuencia en las últimas  semanas: Sus preocupaciones le han hecho perder mucho sueño
M47_3;1;209;209;char;;Frecuencia en las últimas  semanas: Ha sentido que est  desempeñando un papel útil en la vida
M47_4;1;210;210;char;;Frecuencia en las últimas semanas: Se ha sentido capaz de tomar decisiones
M47_5;1;211;211;char;;Frecuencia en las últimas  semanas: Se ha notado constantemente agobiado y en tensión
M47_6;1;212;212;char;;Frecuencia en las últimas  semanas: Ha tenido la sensación de que no puede superar sus dificultades
M47_7;1;213;213;char;;Frecuencia en las últimas  semanas: Ha sido capaz de disfrutar de sus actividades normales de cada día
M47_8;1;214;214;char;;Frecuencia en las últimas semanas: Ha sido capaz de hacer frente adecuadamente a sus problemas
M47_9;1;215;215;char;;Frecuencia en las últimas semanas: Se ha sentido poco feliz o deprimido
M47_10;1;216;216;char;;Frecuencia en las últimas semanas: Ha perdido confianza en sí mismo
M47_11;1;217;217;char;;Frecuencia en las últimas semanas: Ha pensado que usted es una persona que no vale para nada
M47_12;1;218;218;char;;Frecuencia en las últimas semanas: Se siente razonablemente feliz consideranto todas las circunstancias
M47a;1;219;219;char;;Condiciones en que realiza el trabajo: nivel de estrés
M47b;1;220;220;char;;Condiciones en que realiza el trabajo: trabajo satisfactorio
N48;1;221;221;char;;Tiempo desde la última consulta al médico general o de familia
N49;2;222;223;char;;Número de consultas a un médico general o de familia en las cuatro últimas semanas
N50;1;224;224;char;;Tiempo desde la última consulta a un médico especialista
N51;2;225;226;char;;Número de consultas a un médico especialista en las cuatro últimas semanas
N52;1;227;227;char;;último médico consultado
N53;2;228;229;char;;Lugar de la última consulta en estas cuatro semanas
N54;1;230;230;char;;Motivo principal de esta última consulta
N55_1;2;231;232;char;;Tiempo en meses desde estar enfermo hasta pedir cita en esta última consulta 
N55_2;2;233;234;char;;Tiempo en días desde estar enfermo hasta pedir cita en esta última consulta 
N55_3;2;235;236;char;;Tiempo en horas desde estar enfermo hasta pedir cita en esta última consulta 
N56_1;2;237;238;char;;Tiempo en meses desde que pidió cita hasta que fue atendido
N56_2;2;239;240;char;;Tiempo en días desde que pidió cita hasta que fue atendido
N56_3;2;241;242;char;;Tiempo en horas desde que pidió cita hasta que fue atendido
N57;1;243;243;char;;Dependencia funcional del médico
N58_1;1;244;244;char;;Visita durante los últimos 12 meses a: Fisioterapeuta
N58_2;1;245;245;char;;Visita durante los últimos 12 meses a: Psicólogo, psicoterapeuta o psiquiatra
N58_3;1;246;246;char;;Visita durante los últimos 12 meses a: Enfermero/a, matrona
N59;1;247;247;char;;Realización de an lisis en los últimos 12 meses
N60_1;1;248;248;char;;Pruebas durante los últimos 12 meses: Radiografía
N60_2;1;249;249;char;;Pruebas durante los últimos 12 meses: TAC o escáner
N60_3;1;250;250;char;;Pruebas durante los últimos 12 meses: Ecografía
N60_4;1;251;251;char;;Pruebas durante los últimos 12 meses: Resonancia magnética
N60a_1;1;252;252;char;;Visitas durante los últimos 12 meses: Homeópata
N60a_2;1;253;253;char;;Visitas durante los últimos 12 meses: Acupuntor
N60a_3;1;254;254;char;;Visitas durante los últimos 12 meses: Naturista
N60a_4;1;255;255;char;;Visitas durante los últimos 12 meses: Otro profesional de medicina alternativa (osteópata, quiropráctico...)
N61_1;1;256;256;char;;Servicios asistenciales en los últimos 12 meses: Atención domiciliaria prestada por enfermero/a o matrona
N61_2;1;257;257;char;;Servicios asistenciales en los últimos 12 meses: Ayuda domiciliaria para las tareas domésticas o para las personas mayores
N61_3;1;258;258;char;;Servicios asistenciales en los últimos 12 meses: Comidas a domicilio para personas mayores
N61_4;1;259;259;char;;Servicios asistenciales en los últimos 12 meses: Servicios especiales de transporte a domicilio
N61_5;1;260;260;char;;Servicios asistenciales en los últimos 12 meses: Otros servicios de asistencia domiciliaria
N62;1;261;261;char;;Tiempo desde la última consulta al dentista, estomatólogo o higienista dental
N62b;2;262;263;char;;Número de veces que visitó al dentista, estomatólogo o higienista dental en los últimos 3 meses
N63_1;1;264;264;char;;Tipo de asistencia: Revisión o chequeo
N63_2;1;265;265;char;;Tipo de asistencia: Limpieza de boca
N63_3;1;266;266;char;;Tipo de asistencia: Empastes (obturaciones), endodoncias 
N63_4;1;267;267;char;;Tipo de asistencia: Extracción de algún diente/muela
N63_5;1;268;268;char;;Tipo de asistencia: Fundas, puentes u otro tipo de prótesis
N63_6;1;269;269;char;;Tipo de asistencia: Tratamiento de las enfermedades de las encías
N63_7;1;270;270;char;;Tipo de asistencia: Ortodoncia
N63_8;1;271;271;char;;Tipo de asistencia: Aplicación de flúor
N63_9;1;272;272;char;;Tipo de asistencia: Implantes
N63_10;1;273;273;char;;Tipo de asistencia: Otro tipo
N64;1;274;274;char;;Dependencia funcional del dentista consultado en la última visita
N65_1;1;275;275;char;;Estado de dientes y muelas: Tiene caries
N65_2;1;276;276;char;;Estado de dientes y muelas: Le han extraído dientes/muelas
N65_3;1;277;277;char;;Estado de dientes y muelas: Tiene dientes/muelas empastados (obturados)
N65_4;1;278;278;char;;Estado de dientes y muelas: Le sangran las encías al cepillarse o espont neamente
N65_5;1;279;279;char;;Estado de dientes y muelas: Se le mueven los dientes/muelas
N65_6;1;280;280;char;;Estado de dientes y muelas: Lleva fundas (coronas), puentes, otras prótesis o dentadura postiza
N65_7;1;281;281;char;;Estado de dientes y muelas: Le faltan dientes/muelas que no han sido sustituidos por prótesis
N65_8;1;282;282;char;;Estado de dientes y muelas: Tiene o conserva todos sus dientes/muelas naturales
O66;1;283;283;char;;Ingreso en hospital en los últimos 12 meses, excluyendo parto o cesárea 
O67;2;284;285;char;;Número de veces ingresado en un hospital en los últimos 12 meses, excluyendo parto o cesárea 
O69;1;286;286;char;;Ingreso en hospital en los últimos 12 meses debido a parto o cesárea
O70;3;287;289;char;;Número de días ingresado en el hospital la última vez
O71;1;290;290;char;;Motivo del último ingreso en el hospital
O72;1;291;291;char;;¿Estuvo en lista de espera para el último ingreso?
O73;2;292;293;char;;Número de meses en lista de espera
O74;1;294;294;char;;¿A cargo de quién corrieron los gastos de hospitalización?
O75;1;295;295;char;;Ingreso en hospital de día en los últimos 12 meses
O76;3;296;298;char;;Número de ingresos en un hospital de día en los últimos 12 meses
O77;1;299;299;char;;Motivo del último ingreso en un hospital de día
O78;1;300;300;char;;Utilización del servicio de urgencias en los últimos 12 meses
O79;3;301;303;char;;Número de veces que utilizó el servicio de urgencias en los últimos 12 meses
O80_1;1;304;304;char;;Lugar de atención del último servicio de urgencias: Lugar donde se encontraba
O80_2;1;305;305;char;;Lugar de atención del último servicio de urgencias: Unidad móvil
O80_3;1;306;306;char;;Lugar de atención del último servicio de urgencias: Centro o servicio de urgencias
O81_1;2;307;308;char;;Tiempo desde que se sintió enfermo hasta que pidió asistencia urgente (último servicio de urgencias utilizado): Días
O81_2;2;309;310;char;;Tiempo desde que se sintió enfermo hasta que pidió asistencia urgente (último servicio de urgencias utilizado): Horas
O81_3;2;311;312;char;;Tiempo desde que se sintió enfermo hasta que pidió asistencia urgente (último servicio de urgencias utilizado): Minutos
O82_1;2;313;314;char;;Tiempo desde que pidió asistencia urgente hasta que fue atendido (último servicio de urgencias utilizado): Horas
O82_2;2;315;316;char;;Tiempo desde que pidió asistencia urgente hasta que fue atendido (último servicio de urgencias utilizado): Minutos
O83;1;317;317;char;;Tipo de servicio de urgencias utilizado la última vez
O84_1;1;318;318;char;;Modalidad de seguro sanitario: Sanidad Pública (Seguridad Social)
O84_2;1;319;319;char;;Modalidad de seguro sanitario: Mutualidades del Estado (MUFACE, ISFAS, MUGEJU) acogidas a la Seguridad Social
O84_3;1;320;320;char;;Modalidad de seguro sanitario: Mutualidades del Estado (MUFACE, ISFAS, MUGEJU) acogidas a un seguro privado
O84_4;1;321;321;char;;Modalidad de seguro sanitario: Seguro médico privado, concertado individualmente (sociedades médicas, Colegios Profesionales...)
O84_5;1;322;322;char;;Modalidad de seguro sanitario: Seguro médico concertado por la empresa
O84_6;1;323;323;char;;Modalidad de seguro sanitario: No tiene seguro médico
O84_7;1;324;324;char;;Modalidad de seguro sanitario: Otras situaciones
O84_8;1;325;325;char;;Modalidad de seguro sanitario: No sabe
O84_9;1;326;326;char;;Modalidad de seguro sanitario: No contesta
P85;1;327;327;char;;Consumo de medicamentos recetados por un médico durante las dos últimas semanas
P86;1;328;328;char;;Consumo de medicamentos no recetados por un médico durante las dos últimas semanas
P87_1a;1;329;329;char;;Medicinas para el catarro, gripe, garganta, bronquios consumidas
P87_1b;1;330;330;char;;Medicinas para el catarro, gripe, garganta, bronquios recetadas
P87_2a;1;331;331;char;;Medicinas para el dolor consumidas                        
P87_2b;1;332;332;char;;Medicinas para el dolor recetadas                        
P87_3a;1;333;333;char;;Medicinas para bajar la fiebre consumidas            
P87_3b;1;334;334;char;;Medicinas para bajar la fiebre recetadas              
P87_4a;1;335;335;char;;Reconstituyentes como vitaminas, minerales, tónicos consumidos
P87_4b;1;336;336;char;;Reconstituyentes como vitaminas, minerales, tónicos recetados
P87_5a;1;337;337;char;;Laxantes consumidos
P87_5b;1;338;338;char;;Laxantes recetados
P87_6a;1;339;339;char;;Antibióticos consumidos
P87_6b;1;340;340;char;;Antibióticos recetados
P87_7a;1;341;341;char;;Tranquilizantes, relajantes, pastillas para dormir consumidos
P87_7b;1;342;342;char;;Tranquilizantes, relajantes, pastillas para dormir recetados
P87_8a;1;343;343;char;;Medicamentos para la alergia consumidos
P87_8b;1;344;344;char;;Medicamentos para la alergia recetados
P87_9a;1;345;345;char;;Medicamentos para la diarrea consumidos
P87_9b;1;346;346;char;;Medicamentos para la diarrea recetados
P87_10a;1;347;347;char;;Medicinas para el reuma consumidas
P87_10b;1;348;348;char;;Medicinas para el reuma recetadas
P87_11a;1;349;349;char;;Medicinas para el corazón consumidas
P87_11b;1;350;350;char;;Medicinas para el corazón recetadas
P87_12a;1;351;351;char;;Medicinas para la tensión arterial consumidas
P87_12b;1;352;352;char;;Medicinas para la tensión arterial recetadas
P87_13a;1;353;353;char;;Medicinas para el estómago y/o las alteraciones digestivas consumidas
P87_13b;1;354;354;char;;Medicinas para el estómago y/o las alteraciones digestivas recetadas
P87_14a;1;355;355;char;;Antidepresivos, estimulantes consumidos
P87_14b;1;356;356;char;;Antidepresivos, estimulantes recetados
P87_15a;1;357;357;char;;Píldoras para no quedar embarazada consumidas
P87_15b;1;358;358;char;;Píldoras para no quedar embarazada recetadas
P87_16a;1;359;359;char;;Hormonas para la menopausia consumidas
P87_16b;1;360;360;char;;Hormonas para la menopausia recetadas  
P87_17a;1;361;361;char;;Medicamentos para adelgazar consumidos
P87_17b;1;362;362;char;;Medicamentos para adelgazar recetados
P87_18a;1;363;363;char;;Medicamentos para bajar el colesterol consumidos
P87_18b;1;364;364;char;;Medicamentos para bajar el colesterol recetados
P87_19a;1;365;365;char;;Medicamentos para la diabetes consumidos
P87_19b;1;366;366;char;;Medicamentos para la diabetes recetados
P87_20a;1;367;367;char;;Medicamentos para el tiroides consumidos
P87_20b;1;368;368;char;;Medicamentos para el tiroides recetados
P87_21a;1;369;369;char;;Productos homeop ticos consumidos
P87_21b;1;370;370;char;;Productos homeop ticos recetados
P87_22a;1;371;371;char;;Productos naturistas consumidos
P87_22b;1;372;372;char;;Productos naturistas recetados
P87_23a;1;373;373;char;;Otros medicamentos consumidos
P87_23b;1;374;374;char;;Otros medicamentos recetados
Q88;1;375;375;char;;Vacunación de la gripe en la última campaña
Q89;1;376;376;char;;Toma de tensión arterial alguna vez por un profesional sanitario
Q90;1;377;377;char;;Tiempo que hace de la última toma de tensión arterial
Q91;1;378;378;char;;Medición del nivel de colesterol en sangre
Q92;1;379;379;char;;Tiempo que hace de la última medición de colesterol
Q93;1;380;380;char;;Medición del nivel de azúcar en sangre por un profesional sanitario
Q94;1;381;381;char;;Tiempo que hace de la última medición de azúcar en sangre
Q95;1;382;382;char;;¿Alguna vez le han hecho una prueba de sangre oculta en heces?
Q96;1;383;383;char;;Tiempo que hace de la última prueba de sangre oculta en heces
Q97;1;384;384;char;;Principal razón de la última prueba de sangre oculta en heces
Q98;1;385;385;char;;¿Le han realizado alguna vez una colonoscopia?
Q99;1;386;386;char;;Tiempo que hace de la última colonoscopia
Q100;1;387;387;char;;¿Alguna vez le han hecho una mamografía?
Q101;1;388;388;char;;Tiempo que hace de la última mamografía
Q102;1;389;389;char;;Principal razón de la última mamografía
Q103;1;390;390;char;;¿Alguna vez le han hecho una citología vaginal?
Q104;1;391;391;char;;Tiempo que hace de la última citología
Q105;1;392;392;char;;Principal razón de la última citología
R106;1;393;393;char;;Falta de asistencia médica debido a listas de espera en los últimos 12 meses
R107;1;394;394;char;;Falta de asistencia médica debido a problemas de transporte en los últimos 12 meses
R108_1;1;395;395;char;;Falta de atención sanitaria debido a problemas económicos en los últimos 12 meses: Atención médica
R108_2;1;396;396;char;;Falta de atención sanitaria debido a problemas económicos en los últimos 12 meses: Atención dental
R108_3;1;397;397;char;;Falta de atención sanitaria debido a problemas económicos en los últimos 12 meses: Algún medicamento que le habían recetado
R108_4;1;398;398;char;;Falta de atención sanitaria debido a problemas económicos en los últimos 12 meses: Atención de salud mental
S109;3;399;401;num;;Altura en cm
S110;3;402;404;num;;Peso en kg
T111;1;405;405;char;;Tipo de actividad física que realiza en la actividad principal
T112;1;406;406;char;;Frecuencia con la que realiza alguna actividad física en su tiempo libre
